game_id,scheduled_time,team,player,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,pf
20190926-1845-rockets-greenmachine,26/09/2019 18:45,greenmachine,greenmachine-alex,4,1,10,10,0,0,,2,6,0,0,8,8,0,3,4,0,4
20190926-1845-rockets-greenmachine,26/09/2019 18:45,greenmachine,greenmachine-sergio,2,1,2,50,0,1,0,0,3,0,1,0,1,1,8,4,0,0
20190926-1845-rockets-greenmachine,26/09/2019 18:45,greenmachine,greenmachine-allison,0,0,0,,0,0,,0,0,,0,1,1,0,3,0,0,0
20190926-1845-rockets-greenmachine,26/09/2019 18:45,greenmachine,greenmachine-david,0,0,2,0,0,0,,0,0,,0,1,1,0,7,1,0,0
20190926-1845-rockets-greenmachine,26/09/2019 18:45,greenmachine,greenmachine-iestyn,0,0,8,0,0,1,0,0,2,0,2,5,7,0,3,0,1,2
20190926-1845-rockets-greenmachine,26/09/2019 18:45,greenmachine,greenmachine-marina,0,0,2,0,0,0,,0,0,,0,1,1,0,5,0,0,0
20190926-1845-rockets-greenmachine,26/09/2019 18:45,greenmachine,greenmachine-victoria,0,0,2,0,0,0,,0,0,,0,0,0,0,3,1,0,0
20190926-1845-rockets-greenmachine,26/09/2019 18:45,rockets,rockets-marc,16,7,10,70,0,1,0,2,2,1,2,6,8,2,2,6,0,6
20190926-1845-rockets-greenmachine,26/09/2019 18:45,rockets,rockets-alex,7,3,5,60,1,1,100,0,2,0,1,4,5,1,0,2,0,4
20190926-1845-rockets-greenmachine,26/09/2019 18:45,rockets,rockets-malachi,7,3,5,60,0,0,,1,2,0,1,6,7,0,2,2,3,1
20190926-1845-rockets-greenmachine,26/09/2019 18:45,rockets,rockets-anna,6,3,8,37.5,0,0,,0,0,,0,1,1,0,5,2,0,1
20190926-1845-rockets-greenmachine,26/09/2019 18:45,rockets,rockets-paul,5,2,8,25,0,1,0,1,2,0,1,1,2,4,1,4,0,2
20190926-1845-rockets-greenmachine,26/09/2019 18:45,rockets,rockets-janis,4,2,10,20,0,0,,0,0,,4,2,6,4,5,7,0,1
20190926-1845-rockets-greenmachine,26/09/2019 18:45,rockets,camdenhells-amy,0,0,1,0,0,0,,0,0,,0,0,0,1,1,2,0,0