id,team_id,player_id
bbcballers-bbcballers-alexandra,bbcballers,bbcballers-alexandra
bbcballers-bbcballers-arthur,bbcballers,bbcballers-arthur
bbcballers-bbcballers-james,bbcballers,bbcballers-james
bbcballers-bbcballers-lisa,bbcballers,bbcballers-lisa
bbcballers-bbcballers-nathan,bbcballers,bbcballers-nathan
bbcballers-bbcballers-saulius,bbcballers,bbcballers-saulius
bbcballers-bbcballers-suhail,bbcballers,bbcballers-suhail
burritos-burritos-alex,burritos,burritos-alex
burritos-burritos-allen,burritos,burritos-allen
burritos-burritos-armelle,burritos,burritos-armelle
burritos-burritos-stuart,burritos,burritos-stuart
burritos-burritos-suzi,burritos,burritos-suzi
burritos-burritos-sylwia,burritos,burritos-sylwia
burritos-burritos-tom,burritos,burritos-tom
burritos-burritos-wouter,burritos,burritos-wouter
burritos-dropbears-mary,burritos,dropbears-mary
camdenhells-camdenhells-claudio,camdenhells,camdenhells-claudio
camdenhells-camdenhells-davidgalindo,camdenhells,camdenhells-davidgalindo
camdenhells-camdenhells-jess,camdenhells,camdenhells-jess
camdenhells-camdenhells-sean,camdenhells,camdenhells-sean
camdenhells-greenmachine-ahmed,camdenhells,greenmachine-ahmed
camdenhells-kissmygrass-steph,camdenhells,kissmygrass-steph
camdenhells-lions-alfie,camdenhells,lions-alfie
camdenhells-lostangels-rob,camdenhells,lostangels-rob
camdenhells-lostangels-sophie,camdenhells,lostangels-sophie
camdenhells-rockets-anna,camdenhells,rockets-anna
camdenhells-rockets-malachi,camdenhells,rockets-malachi
dropbears-dropbears-ed,dropbears,dropbears-ed
dropbears-dropbears-hayley,dropbears,dropbears-hayley
dropbears-dropbears-martin,dropbears,dropbears-martin
dropbears-dropbears-mary,dropbears,dropbears-mary
dropbears-dropbears-p2,dropbears,dropbears-p2
dropbears-dropbears-ray,dropbears,dropbears-ray
greenmachine-greenmachine-ahmed,greenmachine,greenmachine-ahmed
greenmachine-greenmachine-alex,greenmachine,greenmachine-alex
greenmachine-greenmachine-allison,greenmachine,greenmachine-alison
greenmachine-greenmachine-basel,greenmachine,greenmachine-basel
greenmachine-greenmachine-jayd,greenmachine,greenmachine-jayd
greenmachine-greenmachine-kelli,greenmachine,greenmachine-kelli
greenmachine-greenmachine-marina,greenmachine,greenmachine-marina
greenmachine-greenmachine-sergio,greenmachine,greenmachine-sergio
greenmachine-greenmachine-victoria,greenmachine,greenmachine-victoria
hotshots-hotshots-bernard,hotshots,hotshots-bernard
hotshots-hotshots-daniel,hotshots,hotshots-daniel
hotshots-hotshots-davidm,hotshots,hotshots-davidm
hotshots-hotshots-harrison,hotshots,hotshots-harrison
hotshots-hotshots-marine,hotshots,hotshots-marine
hotshots-hotshots-martin,hotshots,hotshots-martin
hotshots-hotshots-sharad,hotshots,hotshots-sharad
hotshots-hotshots-weronika,hotshots,hotshots-weronika
hotshots-imports-dan,hotshots,imports-dan
hotshots-lions-saulius,hotshots,lions-saulius
lions-greenmachine-andris,lions,greenmachine-andris
lions-lions-chris,lions,lions-chris
lions-lions-diego,lions,lions-diego
lions-lions-foley,lions,lions-foley
lions-lions-gus,lions,lions-gus
lions-lions-kata,lions,lions-kata
lions-lions-mychelle,lions,lions-mychelle
lions-lions-rashid,lions,lions-rashid
lions-lions-telle,lions,lions-telle
lions-lions-tony,lions,lions-tony
lostangels-kissmygrass-steph,lostangels,kissmygrass-steph
lostangels-lostangels-aldis,lostangels,lostangels-aldis
lostangels-lostangels-carlos,lostangels,lostangels-carlos
lostangels-lostangels-carlotta,lostangels,lostangels-carlotta
lostangels-lostangels-daria,lostangels,lostangels-daria
lostangels-lostangels-jazeps,lostangels,lostangels-jazeps
lostangels-lostangels-john,lostangels,lostangels-john
lostangels-lostangels-rolands,lostangels,lostangels-rolands
lostangels-lostangels-sophie,lostangels,lostangels-sophie
northlondonlions-northlondonlions-banksy,northlondonlions,northlondonlions-banksy
northlondonlions-northlondonlions-boma,northlondonlions,northlondonlions-boma
northlondonlions-northlondonlions-kat,northlondonlions,northlondonlions-kat
northlondonlions-northlondonlions-kenny,northlondonlions,northlondonlions-kenny
northlondonlions-northlondonlions-kia,northlondonlions,northlondonlions-kia
northlondonlions-northlondonlions-kylie,northlondonlions,northlondonlions-kylie
northlondonlions-northlondonlions-luke,northlondonlions,northlondonlions-luke
northlondonlions-northlondonlions-mikey,northlondonlions,northlondonlions-mikey
northlondonlions-northlondonlions-millie,northlondonlions,northlondonlions-millie
northlondonlions-northlondonlions-stephanie,northlondonlions,northlondonlions-stephanie
northlondonlions-northlondonlions-sulley,northlondonlions,northlondonlions-sulley
northlondonlions-northlondonlions-tanky,northlondonlions,northlondonlions-tanky
northlondonlions-northlondonlions-tom,northlondonlions,northlondonlions-tom
northlondonlions-northlondonlions-zoey,northlondonlions,northlondonlions-zoey
rockets-rockets-alex,rockets,rockets-alex
rockets-rockets-anna,rockets,rockets-anna
rockets-rockets-darnell,rockets,rockets-darnell
rockets-rockets-janis,rockets,rockets-janis
rockets-rockets-marc,rockets,rockets-marc
rockets-rockets-patricia,rockets,rockets-patricia
rockets-rockets-paul,rockets,rockets-paul
rockets-rockets-thriston,rockets,rockets-thriston
team-a-saturdays-kimberley,team-a,saturdays-kimberley
team-a-saturdays-nils,team-a,saturdays-nils
team-a-saturdays-priya,team-a,saturdays-priya
team-a-saturdays-remi,team-a,saturdays-remi
team-a-saturdays-teddy,team-a,saturdays-teddy
team-a-saturdays-tudor,team-a,saturdays-tudor
team-a-timekeeper-naomi,team-a,timekeeper-naomi
team-b-camdenhells-aimee,team-b,camdenhells-amy
team-b-camdenhells-levent,team-b,camdenhells-levent
team-b-lostangels-daria,team-b,lostangels-daria
team-b-lostangels-rolands,team-b,lostangels-rolands
team-b-rockets-thriston,team-b,rockets-thriston
team-b-saturdays-abraar,team-b,saturdays-abraar